广东+香港,#genre#
东南卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
甘肃卫视,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225846/index.m3u8
广西卫视,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225806/index.m3u8
吉林卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225883/index.m3u8
内蒙古卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225836/index.m3u8
宁夏卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225842/index.m3u8
山西卫视,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221225786/index.m3u8
陕西卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227022/index.m3u8
西藏卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221226376/index.m3u8
新疆卫视,http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221225844/index.m3u8
青海卫视,http://223.110.246.69/ott.js.chinamobile.com/PLTV/4/224/3221225783/index.m3u8
厦门卫视,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221226996/index.m3u8
云南卫视,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225838/index.m3u8
兵团卫视,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221227025/index.m3u8
南方卫视,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227005/index.m3u8
央视联通,#genre#
CCTV1,http://39.135.33.12/PLTV/77777777/224/3221226546/index.m3u8
CCTV1,http://39.135.33.12/PLTV/77777777/224/3221226808/index.m3u8
CCTV1,http://39.135.33.12/PLTV/77777777/224/3221226674/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226764/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226766/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226768/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226770/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226772/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226774/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226776/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226778/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226780/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226782/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226784/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226786/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226788/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226789/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226790/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226791/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226792/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226793/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226794/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226795/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226796/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226797/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226798/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226799/index.m3u8
CCTV1,http://39.135.33.12/PLTV/88888888/224/3221226801/index.m3u8
CCTV2,http://39.135.33.12/PLTV/77777777/224/3221226599/index.m3u8
CCTV2,http://39.135.33.12/PLTV/77777777/224/3221226642/index.m3u8
CCTV3,http://39.135.33.12/PLTV/77777777/224/3221226548/index.m3u8
CCTV3,http://39.135.33.12/PLTV/77777777/224/3221226717/index.m3u8
CCTV4,http://39.135.33.12/PLTV/77777777/224/3221226584/index.m3u8
CCTV4,http://39.135.33.12/PLTV/77777777/224/3221226817/index.m3u8
CCTV5,http://39.135.33.12/PLTV/77777777/224/3221226550/index.m3u8
CCTV5,http://39.135.33.12/PLTV/77777777/224/3221226719/index.m3u8
CCTV5+,http://39.135.33.12/PLTV/77777777/224/3221226597/index.m3u8
CCTV5+,http://39.135.33.12/PLTV/77777777/224/3221226672/index.m3u8
CCTV6,http://39.135.33.12/PLTV/77777777/224/3221226601/index.m3u8
CCTV6,http://39.135.33.12/PLTV/77777777/224/3221226644/index.m3u8
CCTV6 7M1080,http://39.135.33.12/PLTV/88888888/224/3221226810/index.m3u8
CCTV7,http://39.135.33.12/PLTV/77777777/224/3221226536/index.m3u8
CCTV7,http://39.135.33.12/PLTV/77777777/224/3221226646/index.m3u8
CCTV8,http://39.135.33.12/PLTV/77777777/224/3221226603/index.m3u8
CCTV8,http://39.135.33.12/PLTV/77777777/224/3221226721/index.m3u8
CCTV9,http://39.135.33.12/PLTV/77777777/224/3221226552/index.m3u8
CCTV9,http://39.135.33.12/PLTV/77777777/224/3221226648/index.m3u8
CCTV10,http://39.135.33.12/PLTV/77777777/224/3221226589/index.m3u8
CCTV10,http://39.135.33.12/PLTV/77777777/224/3221226640/index.m3u8
CCTV11,http://39.135.33.12/PLTV/77777777/224/3221226639/index.m3u8
CCTV11,http://39.135.33.12/PLTV/77777777/224/3221226816/index.m3u8
CCTV12,http://39.135.33.12/PLTV/77777777/224/3221226534/index.m3u8
CCTV12,http://39.135.33.12/PLTV/77777777/224/3221226713/index.m3u8
CCTV13,http://39.135.33.12/PLTV/77777777/224/3221226580/index.m3u8
CCTV13,http://39.135.33.12/PLTV/77777777/224/3221226819/index.m3u8
CCTV14,http://39.135.33.12/PLTV/77777777/224/3221226591/index.m3u8
CCTV14,http://39.135.33.12/PLTV/77777777/224/3221226715/index.m3u8
CCTV15,http://39.135.33.12/PLTV/77777777/224/3221226582/index.m3u8
CCTV15,http://39.135.33.12/PLTV/77777777/224/3221226818/index.m3u8
CCTV17,http://39.135.33.12/PLTV/77777777/224/3221226610/index.m3u8
CCTV17,http://39.135.33.12/PLTV/77777777/224/3221226815/index.m3u8
央视移动,#genre#
凤凰中文 10M720,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225942/1.m3u8
凤凰中文 10M720,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225948/1.m3u8
CCTV1 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8
CCTV1 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8
CCTV1 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8
CCTV2 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226230/1.m3u8
CCTV2 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV2 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8
